Résumé,Clé de ticket,ID de ticket,Type de ticket,État,Clé de projet,Nom du projet,Type de projet,Chef de projet,ID de responsable de projet,Description du projet,Priorité,Résolution,Personne assignée,ID de la personne assignée,Rapporteur,ID de rapporteur,Créateur,ID de créateur,Création,Mise à jour,Dernier affichage,Résolu,Date d'échéance,Votes,Description,Environnement,Observateurs,ID des observateurs,Estimation originale,Estimation restante,Temps consacré,Ratio du travail réel comparé à l'estimation,Σ Estimation originale,Σ Estimation restante,Σ Temps consacré,Niveau de sécurité,Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien du ticket entrant (Blocks),Lien de ticket sortant (Blocks),Pièce jointe,Pièce jointe,Champs personnalisés (Issue color),Champs personnalisés (Rank),Champs personnalisés (Start date),Champs personnalisés (Team),Champs personnalisés (Vulnerability),Champs personnalisés (development),Catégorie d'état,Catégorie d'état modifiée
Événements / Unicité des dates,CCS-60,10251,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,19/févr./26 7:31 PM,19/févr./26 7:38 PM,19/févr./26 7:37 PM,,,0,"Vérifier que les dates d'événements ne se chevauchent pas.

* Résultat attendu : Les dates d'événements ne se chevauchent pas
* Résultat obtenu : Certaines dates d'événements se chevauchent voire même sont similaires.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur l'événement Product Con Avril de gauche
** Regarder les dates
** Revenir sur la page précédente
** Cliquer sur l'événement Product Con Avril de fdroite
** Regarder les dates
* Données de test
** Liens événements en pièces jointes",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,19/févr./26 7:35 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-19 à 19.33.54.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10107,19/févr./26 7:34 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-19 à 19.34.05.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10106,,0|i000bj:,,,,,A faire,19/févr./26 7:31 PM
Événements / map Google,CCS-59,10250,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,19/févr./26 7:22 PM,19/févr./26 7:28 PM,19/févr./26 7:35 PM,,,0,"Vérifier que la map google montre le bon endroit en fonction de l’événement

* Résultat attendu : la map montre la bonne adresse et le bon lieu dans l’encart.
* Résultat obtenu : La map est souvent la même peu importe l’événement
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur l'événement Digiton Paris
** Regarder la map
** Revenir en arriàre
** Cliquer sur un autre événements
** Regarder la map
* Données de test
** Liens événements en pièces jointes",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,19/févr./26 7:24 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-19 à 19.22.59.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10104,19/févr./26 7:24 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-19 à 19.23.19.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10105,,0|i000bb:,,,,,A faire,19/févr./26 7:22 PM
Fomulaire Contact / Mail Capitalized,CCS-58,10217,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 8:39 PM,17/févr./26 8:42 PM,19/févr./26 7:36 PM,,,0,"Vérifier l’insertion d’un mail valide.

* Résultat attendu : le mail valide apparaît bien dans l’input.
* Résultat obtenu : Le mail est en Capitalized
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Remplir le champ mail avec le mail valide ci-dessous
* Données de test
** Mail valide : “thomas.anderson@matrix.com”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,17/févr./26 8:41 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-17 à 20.41.34.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10071,,,0|i000b3:,,,,,A faire,17/févr./26 8:39 PM
Slider / Bouton sous image,CCS-57,10216,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 8:33 PM,17/févr./26 8:34 PM,17/févr./26 8:39 PM,,,0,"Vérifier que le bouton sous le slider fonctionne.

* Résultat attendu : L’utilisateur est renvoyé sur le formulaire de contact
* Résultat obtenu : Rien ne se passe
* Criticité : Mineure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton sous une image du slider
* Données de test
** Aucune",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,A faire,17/févr./26 8:33 PM
Formulaire Inscription / Happy Path,CCS-55,10214,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 8:16 PM,17/févr./26 8:20 PM,17/févr./26 8:33 PM,,,0,"Vérifier que l’inscription se fait correctement avec des valeurs valides.

* Résultat attendu : Un message de succès apparaît
* Résultat obtenu : Aucun message apparu.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur l’image du WEF dans le slider
** Remplir le formulaire avec les données de test valides ci-dessous.
** Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Nom : “Anderson”
** Prénom “Thomas”
** Date : Par défaut
** Email : “thomas.anderson@matrix.com”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,17/févr./26 8:20 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-17 à 20.17.37.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10069,,,0|i000an:,,,,,A faire,17/févr./26 8:16 PM
World Economic Forum / Mois Mai,CCS-54,10213,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 8:11 PM,17/févr./26 8:13 PM,17/févr./26 8:18 PM,,,0,"Vérifier que l’événement du World Economic Forum est en Mai.

* Résultat attendu : Le mois affiché est Mai.
* Résultat obtenu : Le mois affiché est Avril.
* Criticité : Mineure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur l’image du WEF dans le slider
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Aucune",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,17/févr./26 8:13 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-17 à 20.13.07.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10068,,,0|i000af:,,,,,A faire,17/févr./26 8:11 PM
Formulaire contact / Personnel ou Entreprise only,CCS-53,10212,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 8:02 PM,17/févr./26 8:03 PM,17/févr./26 8:11 PM,,,0,"Tester le comportement du formulaire et de l’API dans un cas invalide, ici uniquement le type de mail Personnel ou Entreprise.

* Résultat attendu : Un message d’erreur s’affiche pour indiquer qu’il manque des informations.
* Résultat obtenu : Aucun message d’erreur n’apparaît.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Insérer seulement le type de mail
** Cliquer sur Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Type de mail : “Personnel” ou “Entreprise”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,A faire,17/févr./26 8:02 PM
Fomulaire contact / Email only,CCS-52,10211,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 7:59 PM,17/févr./26 8:09 PM,17/févr./26 8:17 PM,,,0,"Tester le comportement du formulaire et de l’API dans un cas invalide, ici uniquement le mail.

* Résultat attendu : Un message d’erreur s’affiche pour indiquer qu’il manque des informations.
* Résultat obtenu : Aucun message d’erreur n’apparaît.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Insérer seulement le mail valide ci-dessous
** Cliquer sur Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Mail : “thomas.anderson@matrix.com”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,17/févr./26 8:09 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-02-17 à 20.09.20.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10067,,,0|i0009z:,,,,,A faire,17/févr./26 7:59 PM
Formulaire contact / Autorisation manquante,CCS-51,10210,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 7:56 PM,17/févr./26 7:59 PM,17/févr./26 7:57 PM,,,0,"Tester le comportement du formulaire et de l’API dans un cas invalide, ici uniquement l’autorisation.

* Résultat attendu : Un message d’erreur s’affiche pour indiquer qu’il manque des informations.
* Résultat obtenu : il n’y a pas d’autorisations sélectionnable.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Chercher l’autorisation
* Données de test
** Aucune",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,17/févr./26 7:59 PM;88467814-9fb7-4995-ad9e-7e0ff54d9013;Capture d’écran 2026-01-29 à 19.39.43.png;https://learningtestauto.atlassian.net/rest/api/3/attachment/content/10066,,,0|i0009r:,,,,,A faire,17/févr./26 7:56 PM
Formulairre contact / Message only,CCS-50,10209,Bug,À faire,CCS,Mon projet Kanban,software,Cyril Brun,5ffb4e14b66825010edbbcbe,Your first project,Medium,,,,Cyril Brun,5ffb4e14b66825010edbbcbe,Cyril Brun,5ffb4e14b66825010edbbcbe,17/févr./26 7:54 PM,17/févr./26 7:55 PM,17/févr./26 7:54 PM,,,0,"Tester le comportement du formulaire et de l’API dans un cas invalide, ici uniquement le Message du formulaire de contact.

* Résultat attendu : Un message d’erreur s’affiche pour indiquer qu’il manque des informations.
* Résultat obtenu : Aucun message d’erreur n’apparaît.
* Criticité : Majeure
* Étapes
** Aller sur la page d’accueil
** Cliquer sur le bouton contact en haut à droite
** Insérer seulement le Message valide ci-dessous
** Cliquer sur Envoyer
* Approfondissement
** Le frontend et le backend seront impactés par ce check.
* Données de test
** Message : “Anderson da best”",,Cyril Brun,5ffb4e14b66825010edbbcbe,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,,,A faire,17/févr./26 7:54 PM
